This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Account Statement for D-13647897 (margin) since 1/2/19 through 2/21/19

Cash Balance
DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
,1/7/19,01:00:00,BAL,--,Cash balance at the start of the business day 07.01 CST,--,--,--,"$10,000.00"
,1/8/19,01:00:00,BAL,--,Cash balance at the start of the business day 08.01 CST,--,--,--,"$10,000.00"
,1/9/19,01:00:00,BAL,--,Cash balance at the start of the business day 09.01 CST,--,--,--,"$10,000.00"
,1/10/19,01:00:00,BAL,--,Cash balance at the start of the business day 10.01 CST,--,--,--,"$10,000.00"
,1/11/19,01:00:00,BAL,--,Cash balance at the start of the business day 11.01 CST,--,--,--,"$10,000.00"
,1/12/19,01:00:00,BAL,--,Cash balance at the start of the business day 12.01 CST,--,--,--,"$10,000.00"
,1/13/19,01:00:00,BAL,--,Cash balance at the start of the business day 13.01 CST,--,--,--,"$10,000.00"
,1/14/19,01:00:00,BAL,--,Cash balance at the start of the business day 14.01 CST,--,--,--,"$10,000.00"
,1/15/19,01:00:00,BAL,--,Cash balance at the start of the business day 15.01 CST,--,--,--,"$10,000.00"
,1/16/19,01:00:00,BAL,--,Cash balance at the start of the business day 16.01 CST,--,--,--,"$10,000.00"
,1/17/19,01:00:00,BAL,--,Cash balance at the start of the business day 17.01 CST,--,--,--,"$10,000.00"
,1/18/19,01:00:00,BAL,--,Cash balance at the start of the business day 18.01 CST,--,--,--,"$10,000.00"
,1/19/19,01:00:00,BAL,--,Cash balance at the start of the business day 19.01 CST,--,--,--,"$10,000.00"
,1/20/19,01:00:00,BAL,--,Cash balance at the start of the business day 20.01 CST,--,--,--,"$10,000.00"
,1/21/19,01:00:00,BAL,--,Cash balance at the start of the business day 21.01 CST,--,--,--,"$10,000.00"
,1/22/19,01:00:00,BAL,--,Cash balance at the start of the business day 22.01 CST,--,--,--,"$10,000.00"
,1/23/19,01:00:00,BAL,--,Cash balance at the start of the business day 23.01 CST,--,--,--,"$10,000.00"
,1/24/19,01:00:00,BAL,--,Cash balance at the start of the business day 24.01 CST,--,--,--,"$10,000.00"
,1/25/19,01:00:00,BAL,--,Cash balance at the start of the business day 25.01 CST,--,--,--,"$10,000.00"
,1/26/19,01:00:00,BAL,--,Cash balance at the start of the business day 26.01 CST,--,--,--,"$10,000.00"
,1/27/19,01:00:00,BAL,--,Cash balance at the start of the business day 27.01 CST,--,--,--,"$10,000.00"
,1/28/19,01:00:00,BAL,--,Cash balance at the start of the business day 28.01 CST,--,--,--,"$10,000.00"
,1/29/19,01:00:00,BAL,--,Cash balance at the start of the business day 29.01 CST,--,--,--,"$10,000.00"
,1/30/19,01:00:00,BAL,--,Cash balance at the start of the business day 30.01 CST,--,--,--,"$10,000.00"
,1/31/19,01:00:00,BAL,--,Cash balance at the start of the business day 31.01 CST,--,--,--,"$10,000.00"
,2/1/19,01:00:00,BAL,--,Cash balance at the start of the business day 01.02 CST,--,--,--,"$10,000.00"
,2/2/19,01:00:00,BAL,--,Cash balance at the start of the business day 02.02 CST,--,--,--,"$10,000.00"
,2/3/19,01:00:00,BAL,--,Cash balance at the start of the business day 03.02 CST,--,--,--,"$10,000.00"
,2/4/19,01:00:00,BAL,--,Cash balance at the start of the business day 04.02 CST,--,--,--,"$10,000.00"
,2/5/19,01:00:00,BAL,--,Cash balance at the start of the business day 05.02 CST,--,--,--,"$10,000.00"
